input_bf16_hex,golden_x_times_invln2_bf16,dut_x_times_invln2_bf16,ulp_diff
4298,42db,0000,17115
4298,42db,0000,17115
4298,42db,0000,17115
4298,42db,0000,17115
4298,42db,0000,17115
4299,42dd,0000,17117
4299,42dd,0000,17117
4299,42dd,0000,17117
4299,42dd,0000,17117
4299,42dd,0000,17117
429a,42de,0000,17118
429a,42de,0000,17118
429a,42de,0000,17118
429a,42de,0000,17118
429a,42de,0000,17118
429b,42e0,0000,17120
429b,42e0,0000,17120
429b,42e0,0000,17120
429b,42e0,0000,17120
429b,42e0,0000,17120
429c,42e1,0000,17121
429c,42e1,0000,17121
429c,42e1,0000,17121
429c,42e1,0000,17121
429c,42e1,0000,17121
429d,42e3,0000,17123
429d,42e3,0000,17123
429d,42e3,0000,17123
429d,42e3,0000,17123
429d,42e3,0000,17123
429e,42e4,0000,17124
429e,42e4,0000,17124
429e,42e4,0000,17124
429e,42e4,0000,17124
429e,42e4,0000,17124
429f,42e5,0000,17125
429f,42e5,0000,17125
429f,42e5,0000,17125
429f,42e5,0000,17125
429f,42e5,0000,17125
42a0,42e7,0000,17127
42a0,42e7,0000,17127
42a0,42e7,0000,17127
42a0,42e7,0000,17127
42a0,42e7,0000,17127
42a1,42e8,0000,17128
42a1,42e8,0000,17128
42a1,42e8,0000,17128
42a1,42e8,0000,17128
42a1,42e8,0000,17128
42a2,42ea,0000,17130
42a2,42ea,0000,17130
42a2,42ea,0000,17130
42a2,42ea,0000,17130
42a2,42ea,0000,17130
42a3,42eb,0000,17131
42a3,42eb,0000,17131
42a3,42eb,0000,17131
42a3,42eb,0000,17131
42a3,42eb,0000,17131
42a4,42ed,0000,17133
42a4,42ed,0000,17133
42a4,42ed,0000,17133
42a4,42ed,0000,17133
42a4,42ed,0000,17133
42a5,42ee,0000,17134
42a5,42ee,0000,17134
42a5,42ee,0000,17134
42a5,42ee,0000,17134
42a5,42ee,0000,17134
42a6,42ef,0000,17135
42a6,42ef,0000,17135
42a6,42ef,0000,17135
42a6,42ef,0000,17135
42a6,42ef,0000,17135
42a7,42f1,0000,17137
42a7,42f1,0000,17137
42a7,42f1,0000,17137
42a7,42f1,0000,17137
42a7,42f1,0000,17137
42a8,42f2,0000,17138
42a8,42f2,0000,17138
42a8,42f2,0000,17138
42a8,42f2,0000,17138
42a8,42f2,0000,17138
42a9,42f4,0000,17140
42a9,42f4,0000,17140
42a9,42f4,0000,17140
42a9,42f4,0000,17140
42a9,42f4,0000,17140
42aa,42f5,0000,17141
42aa,42f5,0000,17141
42aa,42f5,0000,17141
42aa,42f5,0000,17141
42aa,42f5,0000,17141
42ab,42f7,0000,17143
42ab,42f7,0000,17143
42ab,42f7,0000,17143
42ab,42f7,0000,17143
42ab,42f7,0000,17143
42ac,42f8,0000,17144
42ac,42f8,0000,17144
42ac,42f8,0000,17144
42ac,42f8,0000,17144
42ac,42f8,0000,17144
42ad,42fa,0000,17146
42ad,42fa,0000,17146
42ad,42fa,0000,17146
42ad,42fa,0000,17146
42ad,42fa,0000,17146
42ae,42fb,0000,17147
42ae,42fb,0000,17147
42ae,42fb,0000,17147
42ae,42fb,0000,17147
42ae,42fb,0000,17147
42af,42fc,0000,17148
42af,42fc,0000,17148
42af,42fc,0000,17148
42af,42fc,0000,17148
42af,42fc,0000,17148
42b0,42fe,0000,17150
42b0,42fe,0000,17150
42b0,42fe,0000,17150
42b0,42fe,0000,17150
42b0,42fe,0000,17150
42b1,42ff,0000,17151
42b1,42ff,0000,17151
42b1,42ff,0000,17151
42b1,42ff,0000,17151
42b1,42ff,0000,17151
