bf16_hex,x_times_invln2_fp32
42AA,122.629082
42AA,122.629082
42AA,122.629082
42AB,123.350426
42AB,123.350426
42AB,123.350426
42AB,123.350426
42AB,123.350426
42AC,124.07177
42AC,124.07177
42AC,124.07177
42AC,124.07177
42AC,124.07177
42AD,124.793121
42AD,124.793121
42AD,124.793121
42AD,124.793121
42AD,124.793121
42AE,125.514465
42AE,125.514465
42AE,125.514465
42AE,125.514465
42AE,125.514465
42AF,126.235817
42AF,126.235817
42AF,126.235817
42AF,126.235817
42AF,126.235817
42B0,126.957161
42B0,126.957161
42B0,126.957161
42B0,126.957161
42B0,126.957161
42B1,127.678513
42B1,127.678513
42B1,127.678513
42B1,127.678513
42B1,127.678513
